MsgType,Symbol,OrderID,Side,OrderType,Price,Quantity,Timestamp
D,AAPL,1001,1,2,175.50,100,2024-01-15T09:30:00.000Z
D,AAPL,1002,2,2,175.55,200,2024-01-15T09:30:00.100Z
D,MSFT,1003,1,2,380.25,50,2024-01-15T09:30:00.200Z
D,GOOGL,1004,2,2,140.00,150,2024-01-15T09:30:00.300Z
D,AAPL,1005,1,2,175.45,300,2024-01-15T09:30:00.400Z
8,AAPL,1001,1,2,175.50,50,2024-01-15T09:30:00.500Z
8,AAPL,1002,2,2,175.50,50,2024-01-15T09:30:00.600Z
F,AAPL,1005,0,0,0,0,2024-01-15T09:30:00.700Z
D,TSLA,1006,1,2,210.50,75,2024-01-15T09:30:00.800Z
D,NVDA,1007,2,2,550.00,25,2024-01-15T09:30:00.900Z
